id,cycle,s1,s2,s3,s4,ttf,label_bnc
1,1,1400.6,554.36,47.47,521.66,191,0
1,2,1403.14,553.75,47.49,522.28,190,0
1,3,1404.2,554.26,47.27,522.42,189,0
1,4,1401.87,554.45,47.13,522.86,188,0
1,5,1406.22,554,47.28,522.19,187,0
1,6,1398.37,554.67,47.16,521.68,186,0
1,7,1397.77,554.34,47.36,522.32,185,0
1,8,1400.97,553.85,47.24,522.47,184,0
1,9,1394.8,553.69,47.29,521.79,183,0
1,10,1400.46,553.59,47.03,521.79,182,0
1,11,1400.64,554.54,47.15,521.4,181,0
1,12,1400.15,554.52,47.18,521.8,180,0
1,13,1400.83,553.44,47.38,521.85,179,0
1,14,1399.16,554.48,47.44,521.67,178,0
1,15,1402.13,553.64,47.3,522.5,177,0
1,16,1404.5,553.94,47.24,521.49,176,0
1,17,1399.95,553.8,47.12,521.89,175,0
1,18,1396.12,554.2,47.21,521.76,174,0
1,19,1400.35,554.18,47.4,521.89,173,0
1,20,1405.23,554.81,47.22,522.07,172,0
1,21,1398.13,554.08,47.15,522.42,171,0
1,22,1400.57,553.63,47.24,522,170,0
1,23,1394.75,553.98,47.25,521.52,169,0
1,24,1398.81,553.49,47.44,522.13,168,0
1,25,1399.39,554,47.36,522.56,167,0
1,26,1396.07,554.11,47.26,522.28,166,0
1,27,1401.84,554.07,47.37,522,165,0
1,28,1399.13,554.68,47.41,522.57,164,0
1,29,1400.99,554.25,47.24,522.41,163,0
1,30,1396.08,554.37,47.4,522.19,162,0
1,31,1396.9,554.13,47.41,521.95,161,0
1,32,1400.36,554.96,47.25,521.92,160,0
1,33,1402.43,554.61,47.28,521.91,159,0
1,34,1400.48,554.3,47.47,521.7,158,0
1,35,1403,554.3,47.31,521.75,157,0
1,36,1405.54,554.53,47.25,522.32,156,0
1,37,1398.9,554.63,47.29,522.29,155,0
1,38,1399.5,554.7,47.27,522.42,154,0
1,39,1400.69,553.97,47.12,522.23,153,0
1,40,1401.77,554.57,47.33,521.84,152,0
1,41,1403.21,553.72,47.09,522.07,151,0
1,42,1401.38,553.94,47.49,522.23,150,0
1,43,1406.05,553.68,47.32,522.74,149,0
1,44,1401.2,554.15,47.45,522.3,148,0
1,45,1399.16,553.83,47.45,521.73,147,0
1,46,1401.27,553.76,47.2,522.02,146,0
1,47,1402.89,554.38,47.22,521.84,145,0
1,48,1399.16,554.02,47.4,521.91,144,0
1,49,1397.76,554.23,47.22,521.37,143,0
1,50,1403.62,553.92,47.47,522.33,142,0
1,51,1400.42,553.73,47.12,521.91,141,0
1,52,1395.57,553.04,47.07,522.1,140,0
1,53,1402.26,554.16,47.29,521.96,139,0
1,54,1401.2,553.95,47.38,522.44,138,0
1,55,1401.58,554.45,47.4,522.11,137,0
1,56,1400.76,553.98,47.26,522.48,136,0
1,57,1402.79,553.42,47.29,521.62,135,0
1,58,1397.99,554.14,47.26,522.21,134,0
1,59,1403.51,554.62,47.26,521.32,133,0
1,60,1403.07,554,47.41,522.49,132,0
1,61,1405.52,554.09,47.31,522.34,131,0
1,62,1399.54,554.45,47.28,522.19,130,0
1,63,1395.38,553.48,47.51,521.56,129,0
1,64,1400.11,553.88,47.45,521.82,128,0
1,65,1403.24,553.97,47.56,521.54,127,0
1,66,1399.52,554,47.14,521.76,126,0
1,67,1403.02,554.31,47.39,522.64,125,0
1,68,1404.42,554.04,47.36,521.72,124,0
1,69,1401.24,554.65,47.41,522.22,123,0
1,70,1402.78,554.01,47.41,521.93,122,0
1,71,1403.09,554.06,47.3,521.72,121,0
1,72,1406.81,553.76,47.27,521.97,120,0
1,73,1397.93,553.88,47.29,522.04,119,0
1,74,1401.48,554.03,47.58,522.25,118,0
1,75,1394.82,553.6,47.22,521.77,117,0
1,76,1398.94,553.66,47.44,521.58,116,0
1,77,1400.97,554.61,47.41,521.6,115,0
1,78,1404.1,553.47,47.4,522.28,114,0
1,79,1403.93,553.77,47.35,521.85,113,0
1,80,1393.58,553.91,47.64,521.52,112,0
1,81,1402.04,553.88,47.43,521.66,111,0
1,82,1399.17,554.18,47.25,521.95,110,0
1,83,1406.38,553.49,47.22,521.93,109,0
1,84,1406.6,553.91,47.38,521.54,108,0
1,85,1405.96,554.4,47.36,522.3,107,0
1,86,1403.56,553.69,47.38,521.82,106,0
1,87,1413.1,554.1,47.34,521.43,105,0
1,88,1406.09,554.48,47.46,522.2,104,0
1,89,1402.22,553.91,47.46,521.55,103,0
1,90,1412.93,552.88,47.32,521.49,102,0
1,91,1404.76,553.54,47.32,521.55,101,0
1,92,1400.77,553.81,47.45,521.91,100,0
1,93,1408.48,554.07,47.46,521.43,99,0
1,94,1404.94,553.86,47.48,521.61,98,0
1,95,1410.1,553.91,47.38,521.92,97,0
1,96,1395.16,553.34,47.39,521.66,96,0
1,97,1407.81,553.4,47.46,521.67,95,0
1,98,1404.56,552.75,47.37,522.31,94,0
1,99,1406.13,553.76,47.4,521.42,93,0
1,100,1411.35,554.22,47.64,521.55,92,0
1,101,1403.41,553.37,47.62,521.89,91,0
1,102,1403.42,553.42,47.49,521.38,90,0
1,103,1403.21,553.64,47.57,521.41,89,0
1,104,1406.25,553.66,47.34,522.38,88,0
1,105,1403.22,553.11,47.31,521.81,87,0
1,106,1404.45,553.6,47.44,521.51,86,0
1,107,1407.73,553.74,47.35,521.75,85,0
1,108,1399.47,554.43,47.61,521.52,84,0
1,109,1409.1,553.59,47.58,521.62,83,0
1,110,1401.27,554.08,47.55,522.01,82,0
1,111,1408.11,553.49,47.62,521.53,81,0
1,112,1401.84,553.19,47.22,521.9,80,0
1,113,1406.59,552.91,47.46,521.75,79,0
1,114,1402.97,554.29,47.58,521.68,78,0
1,115,1406.6,554.13,47.43,521.36,77,0
1,116,1401.99,554.4,47.43,521.6,76,0
1,117,1409.35,554.59,47.52,521.22,75,0
1,118,1409.34,554.25,47.55,521.31,74,0
1,119,1404.46,553.77,47.55,521.46,73,0
1,120,1407.68,553.66,47.6,521.34,72,0
1,121,1411.9,553.7,47.44,521.3,71,0
1,122,1413.97,553.43,47.6,520.92,70,0
1,123,1403.04,552.64,47.41,521.6,69,0
1,124,1402.28,552.26,47.55,521.4,68,0
1,125,1406.42,552.44,47.63,521.57,67,0
1,126,1418.5,553.72,47.49,521.35,66,0
1,127,1399.49,553.81,47.63,521.34,65,0
1,128,1407.06,552.74,47.62,521.96,64,0
1,129,1408.42,552.42,47.61,522.02,63,0
1,130,1412.25,552.66,47.46,521.49,62,0
1,131,1413.25,553.7,47.7,521.45,61,0
1,132,1405.76,553.16,47.56,521.64,60,0
1,133,1410.11,553.82,47.57,521.23,59,0
1,134,1402.67,553.2,47.75,521.52,58,0
1,135,1406.83,553.09,47.34,520.99,57,0
1,136,1404.39,554.18,47.43,521.54,56,0
1,137,1405.15,553.39,47.89,521.63,55,0
1,138,1413.34,552.91,47.4,521.57,54,0
1,139,1412.6,553.25,47.67,521.03,53,0
1,140,1408.36,552.15,47.51,521.27,52,0
1,141,1415.25,553.45,47.49,521.06,51,0
1,142,1413.42,553.11,47.59,520.44,50,0
1,143,1404.21,553.62,47.52,520.98,49,0
1,144,1405.76,553.77,47.57,521.11,48,0
1,145,1409.63,553.03,47.54,521.13,47,0
1,146,1408.82,552.6,47.63,521.13,46,0
1,147,1409.96,553.09,47.8,520.92,45,0
1,148,1411.89,552.84,47.49,521.08,44,0
1,149,1410.7,552.54,47.83,521.13,43,0
1,150,1409.22,553.57,47.6,520.5,42,0
1,151,1411.94,552.41,47.58,520.94,41,0
1,152,1420.83,552.62,47.72,520.39,40,0
1,153,1414.56,552.68,47.74,520.69,39,0
1,154,1416.07,552.57,47.73,520.72,38,0
1,155,1414.89,552.89,47.61,521.23,37,0
1,156,1421.23,553.24,47.58,520.75,36,0
1,157,1412.47,552.32,47.72,520.94,35,0
1,158,1410.09,553.19,47.68,520.88,34,0
1,159,1420.37,552.18,47.76,520.65,33,0
1,160,1418.08,551.87,47.84,520.47,32,0
1,161,1417.31,552.8,47.77,520.47,31,0
1,162,1423.48,552.68,47.79,520.44,30,1
1,163,1421.09,552.41,47.89,520.3,29,1
1,164,1416.76,551.9,47.7,520.63,28,1
1,165,1408.09,552.79,47.89,520.69,27,1
1,166,1422.37,552.13,47.86,520.02,26,1
1,167,1414.72,552.57,47.85,520.49,25,1
1,168,1415.7,552.09,47.84,520.78,24,1
1,169,1418.05,552.71,47.88,520.44,23,1
1,170,1417.41,552.02,47.86,520.23,22,1
1,171,1414.99,552.71,48.03,519.85,21,1
1,172,1413.73,551.69,48.07,520.54,20,1
1,173,1425.27,552.13,47.9,520.11,19,1
1,174,1422.58,552.32,48,520.22,18,1
1,175,1422.52,551.64,47.86,520.38,17,1
1,176,1422.73,551.91,47.84,519.8,16,1
1,177,1423.99,551.93,48.03,520.24,15,1
1,178,1424.65,552.18,48,520.2,14,1
1,179,1429.45,551.57,48.02,520.38,13,1
1,180,1417.14,552.91,47.85,519.84,12,1
1,181,1420.64,551.83,48.1,520.43,11,1
1,182,1426.62,551.9,47.98,520.46,10,1
1,183,1419.03,551.38,48.03,520.05,9,1
1,184,1432.52,551,48.07,519.77,8,1
1,185,1424.4,551.64,48.15,519.82,7,1
1,186,1426.3,552.57,48.12,520.08,6,1
1,187,1427.27,551.08,48.23,519.53,5,1
1,188,1422.78,551.94,48,519.79,4,1
1,189,1428.01,550.7,48.08,519.58,3,1
1,190,1425.95,551.29,48.33,520.04,2,1
1,191,1425.77,550.92,48.15,519.57,1,1
1,192,1427.2,551.25,48.25,520.08,0,1
2,1,1391.28,554.53,46.93,522.33,286,0
2,2,1393.13,554.77,47.24,522.7,285,0
2,3,1398.96,555.14,47.22,522.58,284,0
2,4,1396.08,554.25,47.1,522.49,283,0
2,5,1402.52,555.12,47.25,522.27,282,0
2,6,1396.76,554.98,47.05,522.8,281,0
2,7,1400.65,554.84,47.1,522.14,280,0
2,8,1395.39,554.65,47.2,522.77,279,0
2,9,1395.01,554.69,47.14,522.4,278,0
2,10,1394.86,554.63,47.21,521.99,277,0
2,11,1401.29,554.7,47.21,522.2,276,0
2,12,1401.9,554.57,47.13,521.94,275,0
2,13,1401.53,554.69,47.03,522.33,274,0
2,14,1395.46,554.47,47.12,523.07,273,0
2,15,1402.11,554.17,47.17,521.96,272,0
